area,dept,section,data,message
Manhattan,transplants,2027,182976,
Manhattan,transplants,2028,114947,
Manhattan,transplants,Annual Growth,6.3,
Manhattan,transplants,Video Link,#,
Manhattan,transplants,Video Photo,Assets/img/videoicon.png,
Manhattan,transplants,Graph Link,#,
Manhattan,transplants,Graph Photo,,
Manhattan,chemo-treatments,2010,118069,
Manhattan,chemo-treatments,2011,150692,
Manhattan,chemo-treatments,2012,178339,
Manhattan,chemo-treatments,2013,191044,
Manhattan,chemo-treatments,2014,176899,
Manhattan,chemo-treatments,2015,130412,
Manhattan,chemo-treatments,2016,155680,
Manhattan,chemo-treatments,2017,176783,
Manhattan,chemo-treatments,2018,193882,
Manhattan,chemo-treatments,2019,172860,
Manhattan,chemo-treatments,2020,148722,
Manhattan,chemo-treatments,2021,104789,
Manhattan,chemo-treatments,2022,191477,
Manhattan,chemo-treatments,2023,138586,
Manhattan,chemo-treatments,2024,158369,
Manhattan,chemo-treatments,2025,113454,This is a test
Manhattan,chemo-treatments,2026,149478,
Manhattan,chemo-treatments,2027,108866,
Manhattan,chemo-treatments,2028,132042,
Manhattan,chemo-treatments,Annual Growth,2.2,
Manhattan,chemo-treatments,Video Link,#,
Manhattan,chemo-treatments,Video Photo,Assets/img/videoicon.png,
Manhattan,chemo-treatments,Graph Link,#,
Manhattan,chemo-treatments,Graph Photo,,
Manhattan,rad-onc-treatments,2010,111823,
Manhattan,rad-onc-treatments,2011,192915,
Manhattan,rad-onc-treatments,2012,187384,
Manhattan,rad-onc-treatments,2013,172652,This is a test
Manhattan,rad-onc-treatments,2014,170672,
Manhattan,rad-onc-treatments,2015,145574,
Manhattan,rad-onc-treatments,2016,174970,
Manhattan,rad-onc-treatments,2017,170816,
Manhattan,rad-onc-treatments,2018,134249,This is a test
Manhattan,rad-onc-treatments,2019,145468,
Manhattan,rad-onc-treatments,2020,175218,
Manhattan,rad-onc-treatments,2021,199712,
Manhattan,rad-onc-treatments,2022,185804,This is a test
Manhattan,rad-onc-treatments,2023,109744,
Manhattan,rad-onc-treatments,2024,178663,
Manhattan,rad-onc-treatments,2025,175924,
Manhattan,rad-onc-treatments,2026,196495,
Manhattan,rad-onc-treatments,2027,159210,
Manhattan,rad-onc-treatments,2028,145113,
Manhattan,rad-onc-treatments,Annual Growth,6.9,
Manhattan,rad-onc-treatments,Video Link,#,
Manhattan,rad-onc-treatments,Video Photo,Assets/img/videoicon.png,
Manhattan,rad-onc-treatments,Graph Link,#,
Manhattan,rad-onc-treatments,Graph Photo,,
Manhattan,inpatient-days,2010,143533,
Manhattan,inpatient-days,2011,140990,
Manhattan,inpatient-days,2012,149368,This is a test
Manhattan,inpatient-days,2013,144345,
Manhattan,inpatient-days,2014,144354,
Manhattan,inpatient-days,2015,145432,
Manhattan,inpatient-days,2016,150201,
Manhattan,inpatient-days,2017,156692,
Manhattan,inpatient-days,2018,164578,This is a test
Manhattan,inpatient-days,2019,172313,
Manhattan,inpatient-days,2020,174149,
Manhattan,inpatient-days,2021,174149,
Manhattan,inpatient-days,2022,174149,
Manhattan,inpatient-days,2023,174149,
Manhattan,inpatient-days,2024,174149,
Manhattan,inpatient-days,2025,174149,This is a test
Manhattan,inpatient-days,2026,174149,
Manhattan,inpatient-days,2027,174149,
Manhattan,inpatient-days,2028,174149,
Manhattan,inpatient-days,Annual Growth,2.6,
Manhattan,inpatient-days,Video Link,#,
Manhattan,inpatient-days,Video Photo,Assets/img/videoicon.png,
Manhattan,inpatient-days,Graph Link,#,
Manhattan,inpatient-days,Graph Photo,,
Regional,or-cases,2010,128235,
Regional,or-cases,2011,126694,
Regional,or-cases,2012,167357,
Regional,or-cases,2013,155037,
Regional,or-cases,2014,154747,
Regional,or-cases,2015,120085,
Regional,or-cases,2016,145406,This is a test
Regional,or-cases,2017,139363,
Regional,or-cases,2018,174536,
Regional,or-cases,2019,196336,
Regional,or-cases,2020,134694,
Regional,or-cases,2021,176918,This is a test
Regional,or-cases,2022,169133,
Regional,or-cases,2023,148134,
Regional,or-cases,2024,102302,
Regional,or-cases,2025,107409,
Regional,or-cases,2026,101746,This is a test
Regional,or-cases,2027,169401,
Regional,or-cases,2028,195607,
Regional,or-cases,Annual Growth,2.7,
Regional,or-cases,Video Link,#,
Regional,or-cases,Video Photo,Assets/img/videoicon.png,
Regional,or-cases,Graph Link,#,
Regional,or-cases,Graph Photo,,
Regional,clinic-visits,2010,109990,
Regional,clinic-visits,2011,117768,
Regional,clinic-visits,2012,131626,
Regional,clinic-visits,2013,125227,
Regional,clinic-visits,2014,152667,
Regional,clinic-visits,2015,116524,
Regional,clinic-visits,2016,163575,
Regional,clinic-visits,2017,161472,
Regional,clinic-visits,2018,195630,This is a test
Regional,clinic-visits,2019,176972,
Regional,clinic-visits,2020,107590,
Regional,clinic-visits,2021,139599,
Regional,clinic-visits,2022,173171,
Regional,clinic-visits,2023,101731,
Regional,clinic-visits,2024,146984,
Regional,clinic-visits,2025,185783,
Regional,clinic-visits,2026,187562,
Regional,clinic-visits,2027,111660,
Regional,clinic-visits,2028,128664,
Regional,clinic-visits,Annual Growth,7.8,
Regional,clinic-visits,Video Link,#,
Regional,clinic-visits,Video Photo,Assets/img/videoicon.png,
Regional,clinic-visits,Graph Link,#,
Regional,clinic-visits,Graph Photo,,
Regional,chemo-treatments,2010,150971,
Regional,chemo-treatments,2011,133103,
Regional,chemo-treatments,2012,172545,
Regional,chemo-treatments,2013,183090,
Regional,chemo-treatments,2014,174130,
Regional,chemo-treatments,2015,182461,
Regional,chemo-treatments,2016,125778,
Regional,chemo-treatments,2017,171773,This is a test
Regional,chemo-treatments,2018,182846,
Regional,chemo-treatments,2019,136953,
Regional,chemo-treatments,2020,197333,
Regional,chemo-treatments,2021,139315,
Regional,chemo-treatments,2022,196391,
Regional,chemo-treatments,2023,137000,
Regional,chemo-treatments,2024,197806,
Regional,chemo-treatments,2025,113421,
Regional,chemo-treatments,2026,192672,
Regional,chemo-treatments,2027,165892,
Regional,chemo-treatments,2028,120558,
Regional,chemo-treatments,Annual Growth,7.1,
Regional,chemo-treatments,Video Link,#,
Regional,chemo-treatments,Video Photo,Assets/img/videoicon.png,
Regional,chemo-treatments,Graph Link,#,
Regional,chemo-treatments,Graph Photo,,
Regional,rad-onc-treatments,2010,155110,
Regional,rad-onc-treatments,2011,146601,
Regional,rad-onc-treatments,2012,192694,
Regional,rad-onc-treatments,2013,111352,
Regional,rad-onc-treatments,2014,164114,
Regional,rad-onc-treatments,2015,119491,
Regional,rad-onc-treatments,2016,119417,
Regional,rad-onc-treatments,2017,157080,
Regional,rad-onc-treatments,2018,103029,
Regional,rad-onc-treatments,2019,184162,
Regional,rad-onc-treatments,2020,148386,This is a test
Regional,rad-onc-treatments,2021,100530,
Regional,rad-onc-treatments,2022,156277,
Regional,rad-onc-treatments,2023,104578,
Regional,rad-onc-treatments,2024,178463,
Regional,rad-onc-treatments,2025,136662,
Regional,rad-onc-treatments,2026,148488,
Regional,rad-onc-treatments,2027,124464,
Regional,rad-onc-treatments,2028,107397,
Regional,rad-onc-treatments,Annual Growth,2.2,
Regional,rad-onc-treatments,Video Link,#,
Regional,rad-onc-treatments,Video Photo,Assets/img/videoicon.png,
Regional,rad-onc-treatments,Graph Link,#,
Regional,rad-onc-treatments,Graph Photo,,
Combined,or-cases,2010,16794,
Combined,or-cases,2011,26910,This is a test
Combined,or-cases,2012,39370,
Combined,or-cases,2013,49575,
Combined,or-cases,2014,47129,
Combined,or-cases,2015,24562,
Combined,or-cases,2016,27784,
Combined,or-cases,2017,10781,
Combined,or-cases,2018,43985,
Combined,or-cases,2019,22124,
Combined,or-cases,2020,19475,
Combined,or-cases,2021,44527,
Combined,or-cases,2022,36165,
Combined,or-cases,2023,10711,This is a test
Combined,or-cases,2024,14433,
Combined,or-cases,2025,45887,
Combined,or-cases,2026,20359,
Combined,or-cases,2027,37416,
Combined,or-cases,2028,34790,
Combined,or-cases,Annual Growth,5.5,
Combined,or-cases,Video Link,#,
Combined,or-cases,Video Photo,Assets/img/videoicon.png,
Combined,or-cases,Graph Link,#,
Combined,or-cases,Graph Photo,,
Combined,clinic-visits,2010,167634,
Combined,clinic-visits,2011,122527,
Combined,clinic-visits,2012,138622,
Combined,clinic-visits,2013,139767,
Combined,clinic-visits,2014,120364,
Combined,clinic-visits,2015,125934,
Combined,clinic-visits,2016,133368,
Combined,clinic-visits,2017,116856,
Combined,clinic-visits,2018,103863,
Combined,clinic-visits,2019,127428,
Combined,clinic-visits,2020,142957,
Combined,clinic-visits,2021,192404,
Combined,clinic-visits,2022,160094,
Combined,clinic-visits,2023,192826,
Combined,clinic-visits,2024,179539,
Combined,clinic-visits,2025,178957,This is a test
Combined,clinic-visits,2026,141915,
Combined,clinic-visits,2027,194387,
Combined,clinic-visits,2028,130844,
Combined,clinic-visits,Annual Growth,2.1,
Combined,clinic-visits,Video Link,#,
Combined,clinic-visits,Video Photo,Assets/img/videoicon.png,
Combined,clinic-visits,Graph Link,#,
Combined,clinic-visits,Graph Photo,,
Combined,chemo-treatments,2010,165822,
Combined,chemo-treatments,2011,158243,
Combined,chemo-treatments,2012,141209,
Combined,chemo-treatments,2013,186399,
Combined,chemo-treatments,2014,175356,
Combined,chemo-treatments,2015,162187,
Combined,chemo-treatments,2016,114919,
Combined,chemo-treatments,2017,179966,
Combined,chemo-treatments,2018,153556,
Combined,chemo-treatments,2019,105697,
Combined,chemo-treatments,2020,195838,
Combined,chemo-treatments,2021,197452,
Combined,chemo-treatments,2022,144949,This is a test
Combined,chemo-treatments,2023,178653,
Combined,chemo-treatments,2024,159108,
Combined,chemo-treatments,2025,157791,
Combined,chemo-treatments,2026,181954,
Combined,chemo-treatments,2027,170156,
Combined,chemo-treatments,2028,180433,
Combined,chemo-treatments,Annual Growth,3.5,
Combined,chemo-treatments,Video Link,#,
Combined,chemo-treatments,Video Photo,Assets/img/videoicon.png,
Combined,chemo-treatments,Graph Link,#,
Combined,chemo-treatments,Graph Photo,,
Combined,rad-onc-treatments,2010,126398,
Combined,rad-onc-treatments,2011,137754,
Combined,rad-onc-treatments,2012,134843,
Combined,rad-onc-treatments,2013,122693,
Combined,rad-onc-treatments,2014,189505,
Combined,rad-onc-treatments,2015,123615,
Combined,rad-onc-treatments,2016,109433,
Combined,rad-onc-treatments,2017,118163,
Combined,rad-onc-treatments,2018,106577,
Combined,rad-onc-treatments,2019,156697,
Combined,rad-onc-treatments,2020,105695,
Combined,rad-onc-treatments,2021,175185,
Combined,rad-onc-treatments,2022,159141,
Combined,rad-onc-treatments,2023,149998,
Combined,rad-onc-treatments,2024,185665,
Combined,rad-onc-treatments,2025,162940,
Combined,rad-onc-treatments,2026,198934,
Combined,rad-onc-treatments,2027,119002,
Combined,rad-onc-treatments,2028,139487,This is a test
Combined,rad-onc-treatments,Annual Growth,8,
Combined,rad-onc-treatments,Video Link,#,
Combined,rad-onc-treatments,Video Photo,Assets/img/videoicon.png,
Combined,rad-onc-treatments,Graph Link,#,
Combined,rad-onc-treatments,Graph Photo,,
